ID;VISITA;MES;FECHA;SATISFACCION_INFOR;SATISFACCION_RECORRIDO;SATISFACCION_GUIA;SATISFACCION_GLOBAL;LO_MEJOR;LO_PEOR;OPINION;SUGERENCIAS
14;MADRID HISTÓRICO;Mayo;28/05/2023;10;10;9;10;Iglesia de San Nicolás ;;Mejor de lo que esperaba;Entrar en Monasterio Descalzas Reales
5;LEYENDAS, CASAS ENCANTADAS Y LUCES EN  NAVIDAD;DICIEMBRE;10/12/2023;10;10;10;10;Interesantes historias. La guia muy empatica con las personas con movilidad reducida.;Nada;Como esperaba;Más actividades turisticas inclusivas para personas con diversidad funcional.
13;LA NUEVA PLAZA DE ESPAÑA;OCTUBRE;08/10/2023;9;8;8;8;Itinerario ;Nada;Como esperaba;
12;MADRID EN FEMENINO;ABRIL;15/04/2023;10;10;10;10;La amabilidad y la paciencia del guía ;Nada. Todo muy interesante ;Mejor de lo que esperaba;Cambiar al guía 
11;LA HISTORIA IMPRESCINDIBLE DE MADRID;ENERO ;22/01/2023;7;7;7;7;La bomba a Alfonso XII;;Como esperaba;
11;MADRID EN FEMENINO;JUNIO;17/06/2023;10;10;10;10;La cerda;Nada;Mejor de lo que esperaba;El calor
1;MADRID HISTÓRICO;Mayo;05/05/2023;10;10;10;10;La claridad de las indicaciones ;Nada que comentar;Mejor de lo que esperaba;
24;MADRID HISTÓRICO;ABRIL;23/04/2023;10;10;10;10;La claridad del guía, la oferta de recorridos y la información dada por el personal de la oficina;Nada;Mejor de lo que esperaba;Incluir a personajes menos conocidos. 
2;EL RATONCITO PEREZ Y MADRID;ENERO ;08/01/2023;10;10;10;10;La de cosas que he conocido y que estaban a mi alrededor ;"Qué haya tan pocas 
";Mejor de lo que esperaba;Qué hagan más para todos los públicos y todas las edadrs
6;MADRID EN FEMENINO;JUNIO;10/06/2023;9;9;8;8;La explicacion;;Como esperaba;
25;MADRID EN FEMENINO;ABRIL;28/04/2023;10;10;10;10;La explicacion;Me ha gustado todo;Mejor de lo que esperaba;
30;SAN ISIDRO HISTORIA DE UN SANTO MADRILEÑO;ABRIL;29/04/2023;10;9;10;9;La explicación ;La tardanza en la iglesia;Como esperaba;
11;LA NUEVA PLAZA DE ESPAÑA;OCTUBRE;08/10/2023;10;10;10;10;La explicación de la Plaza de Ramales;Nada;Mejor de lo que esperaba;
1;MADRID HISTÓRICO;FEBRERO;03/02/2023;10;10;10;10;La explicaciones del guía;Nada;Como esperaba;
3;TRADICIONES NAVIDEÑAS;DICIEMBRE;02/12/2023;10;10;10;10;La explicaciones y el carácter afable de Jorge;Las inevitables aglomeraciones a lo largo del recorrido ;Como esperaba;No tengo ninguna sugerencia 
14;LA NUEVA PLAZA DE ESPAÑA;JULIO;16/07/2023;10;8;8;8;La explicacioní;El calor;Mejor de lo que esperaba;
21;LA HISTORIA IMPRESCINDIBLE DE MADRID;OCTUBRE;14/10/2023;7;10;10;10;La exposición del guía;0;Como esperaba;Apertura a más público
4;LA LATINA Y EL MUSEO DE LOS ORIGENES;NOVIEMBRE;05/11/2023;10;10;10;10;La exposición Plaza Oriente y jardines de Lepanto;Restos palacio de Godoy no se ven nada bien;Mejor de lo que esperaba;
20;LA HISTORIA IMPRESCINDIBLE DE MADRID;OCTUBRE;14/10/2023;8;10;10;10;La exposición que ha dado el guía y sus conocimientos ;Nada;Mejor de lo que esperaba;MUJERES QUE HAN HECHO HISTORIA EN LA CIUDAD DE MADRID
30;COMPRAS TÍPICAS DE NAVIDAD;DICIEMBRE;08/12/2023;10;10;10;10;La guia;;Como esperaba;
8;LA HISTORIA IMPRESCINDIBLE DE MADRID;ABRIL;14/04/2023;10;10;10;10;La guia;Nada;Mejor de lo que esperaba;
7;MADRID EN FEMENINO;JUNIO;10/06/2023;10;10;10;10;;;Mejor de lo que esperaba;
6;LA NUEVA PLAZA DE ESPAÑA;AGOSTO;04/08/2023;10;10;10;10;La guia;Nada;Mejor de lo que esperaba;
30;LA HISTORIA IMPRESCINDIBLE DE MADRID;NOVIEMBRE;26/11/2023;10;10;10;10;La guía;Se me ha hecho corto;Mejor de lo que esperaba;
7;LA LATINA Y EL MUSEO DE LOS ORIGENES;OCTUBRE;07/10/2023;10;8;10;10;La guía ;La guía ;Mejor de lo que esperaba;No
26;MADRID EN FEMENINO;ABRIL;28/04/2023;10;7;8;8;La guía ha explicado de forma muy amena, datos poco conocidos como las Sinsombrero;Recorrido algo breve y conocido;Mejor de lo que esperaba;Altavoz
18;MADRID EN FEMENINO;AGOSTO;12/08/2023;10;10;10;10;La Guía ha hecho un recorrido muy ameno.  Ha mezclado historias de mujeres con historia de monumentos y ha sido muy interesante.  ;Hacía mucho calor desde las 11: 00;Mejor de lo que esperaba;Que la ruta empiece antes para que no haga calor
7;MADRID HISTÓRICO;FEBRERO;18/02/2023;10;10;10;10;La guia magnifica, ha hecho aun mejor la visita;;Mejor de lo que esperaba;
5;MUJERES QUE HAN HECHO HISTORIA EN MADRID;NOVIEMBRE;10/11/2023;10;10;10;10;La guía turística, muy profesional y dinámica ;Nada que reseñar;Mejor de lo que esperaba;
11;MADRID HISTÓRICO;FEBRERO;18/02/2023;9;8;10;9;La guía xxxx y la información ;Nada;Mejor de lo que esperaba;Más información del recorrido por la web , que se envíe por correo  antes del recorrido 
9;LEYENDAS, CASAS ENCANTADAS Y LUCES EN  NAVIDAD;DICIEMBRE;10/12/2023;10;10;10;10;La guía y la facilidad para redervar;La guía y la facilidad de reserva;Mejor de lo que esperaba;Seguir asi
3;MADRID EN FEMENINO;Mayo;13/05/2023;10;10;10;10;La guía ;Nada;Mejor de lo que esperaba;
8;LA HISTORIA IMPRESCINDIBLE DE MADRID;JULIO;14/07/2023;10;10;10;10;La guia, como lo explica y como se adapta.;Podria empezar a las 9 30;Mejor de lo que esperaba;Podria empezar antes sobre las 9 30, hace mucha xalor para terminar a las 12.
20;LA NUEVA PLAZA DE ESPAÑA;NOVIEMBRE;24/11/2023;10;10;10;10;La guía, Marta;;Mejor de lo que esperaba;
6;LEYENDAS, CASAS ENCANTADAS Y LUCES EN  NAVIDAD;DICIEMBRE;10/12/2023;10;10;10;10;La guía, muy atenta y amable;La multitud de gente;Mejor de lo que esperaba;No
27;LA HISTORIA IMPRESCINDIBLE DE MADRID;NOVIEMBRE;26/11/2023;10;10;10;10;La guia.  Profesional y divertida. Tiene muchos conocimientos;Nada que destacar;Mejor de lo que esperaba;Ninguna
5;LA NUEVA PLAZA DE ESPAÑA;AGOSTO;04/08/2023;10;10;10;10;La guía. Su humor y que contextualiza cada dato;Nada;Mejor de lo que esperaba;
